index,open,high,low,close
2019/5/10,6080.72,6426.43,6078.77,6291.33
2019/5/12,7077.38,7174.63,6964.32,7172.67
2019/5/13,7077.38,7970.45,6866.69,7864.38
2019/5/14,7864.38,8331.38,7615.89,7719.93
2019/5/15,7719.93,8264.9,7626.76,8171.07
2019/5/16,8171.07,8386.13,7676.02,7676.51
2019/5/17,7680.15,7956.98,6631.91,7106.31
2019/5/19,7986.06,8082.37,7907.03,7994.7
2019/5/20,7986.06,8298.89,7581.53,7940.21
2019/5/21,8007.03,8129.97,7811.55,8086.18
2019/5/22,8087.02,8111.47,7696.32,7832.46
2019/5/23,7832.46,7880.81,7472.91,7878.46
2019/5/24,7878.46,8175,7797.19,8112.36
2019/5/26,8019.98,8782.59,8019.78,8582.04
2019/5/27,8019.98,8942.58,8019.78,8754.64
2019/5/28,8754.64,8849.8,8542.15,8687.79
2019/5/29,8689.51,8757.38,8430.44,8646.35
2019/5/30,8646.35,9088.42,8402.48,8463.48
2019/5/31,8463.48,8514.65,8007.04,8503.38
2019/6/2,8686.5,8710.73,8646,8687.43
2019/6/3,8686.5,8759.63,8332.51,8556.11
2019/6/4,8556.11,8560.76,7509.47,7651.38
2019/6/5,7651.38,7923.68,7446.67,7732.88
2019/6/6,7732.88,7871.13,7458.41,7690.61
2019/6/7,7690.61,8132.43,7686.55,7898.63
2019/6/9,7684.34,7763.36,7680.2,7718.88
2019/6/10,7684.34,8077,7510.88,7943.46
2019/6/11,7943.46,8053.9,7712.81,7926.36
2019/6/12,7926.1,8263.26,7823.2,8120.45
2019/6/13,8120.45,8294.5,8049.18,8261.05
2019/6/14,8261.05,8466.19,8180.15,8452.83
2019/6/16,9056.09,9057.13,8821.05,8932.64
2019/6/17,9056.09,9420.98,8821.05,9273.06
2019/6/18,9273.06,9477,8936.77,9125.34
2019/6/19,9125.34,9210.14,8946.68,9167.27
2019/6/20,9167.27,9599.13,9140.22,9562.66
2019/6/21,9562.66,9950,9464.37,9939.81
2019/6/23,10847.62,11082.67,10847.62,10965.145
2019/6/24,10847.62,11251.21,10548.09,10856.69
2019/6/25,10856.69,11471.93,10836.19,11366.24
2019/6/26,11366.24,13851.6,11365.07,12733.71
2019/6/27,12733.71,13345.17,10305.23,10686.14
2019/6/28,10686.14,12396.56,10462.73,12212.7
2019/6/30,11170.58,11414.55,11092.18,11392.98
2019/7/1,11170.58,11432.51,9984.18,10481.86
2019/7/2,10481.34,10929.35,9660.44,10714.88
2019/7/3,10714.88,11570.5,10598.09,11378.23
2019/7/4,11378.25,12060.75,11301.43,11721.74
2019/7/5,11721.73,11742.97,10775.56,11034
2019/7/7,11461.3,11615.75,11425.1,11507.39
2019/7/8,11461.3,12290.69,11329.58,12207.1
2019/7/9,12205.15,12821.48,12125.83,12401.88
2019/7/10,12401.88,13190.29,11640.29,11778.8
2019/7/11,11779.26,12192.58,10984.37,11146.07
2019/7/12,11146.08,11916.68,11069.18,11907.36
2019/7/14,10491.52,10730.61,10371.57,10641.23
2019/7/15,10491.52,10947.72,9869.56,10821.99
2019/7/16,10821.99,11074.52,9486.55,9595.05
2019/7/17,9596.16,9982.55,9083.78,9686.99
2019/7/18,9686.98,10744.72,9289.76,10616.88
2019/7/19,10616.88,10791,10121.75,10529.52
2019/7/21,10499.27,10515.34,10345.3,10504.08
2019/7/22,10499.27,10682.69,10073.47,10322.33
2019/7/23,10322.33,10381.27,9867.88,10147.93
2019/7/24,10147.2,10147.2,9515.51,9671.71
2019/7/25,9671.73,10182.69,9662.81,9874.05
2019/7/26,9874.05,9943.16,9659.1,9834.23
2019/7/28,9534.01,9550.2,9467.73,9508.965
2019/7/29,9534.01,9718.7,9117.63,9516.61
2019/7/30,9516.61,9761.25,9377.69,9541.65
2019/7/31,9541.65,10125.05,9522.77,10026.61
2019/8/1,10026.61,10489.24,9884.08,10411.97
